test_question,test_span,distance
How many first downs did the Broncos have in Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5104296641043145
How many first downs did the Broncos have in Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5426424566606637
How many first downs did the Broncos have in Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,0.5691062753815905
How many first downs did the Broncos have in Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5801302360673031
How many first downs did the Broncos have in Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5870856951000536
How many first downs did the Broncos have in Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,0.590193677388378
How many first downs did the Broncos have in Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5920021279308865
How many first downs did the Broncos have in Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.6085493310714518
How many first downs did the Broncos have in Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.6184743900366179
How many first downs did the Broncos have in Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.6204049769133161
How many first downs did the Panthers have in Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.4152309805882683
How many first downs did the Panthers have in Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4704974942963524
How many first downs did the Panthers have in Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5104296641043145
How many first downs did the Panthers have in Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5426424566606637
How many first downs did the Panthers have in Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,0.5691062753815905
How many first downs did the Panthers have in Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5748987815702292
How many first downs did the Panthers have in Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5870856951000536
How many first downs did the Panthers have in Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,0.590193677388378
How many first downs did the Panthers have in Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5920021279308865
How many first downs did the Panthers have in Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.6085493310714518
How many first downs did the Panthers have in Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.6184743900366179
How many first downs did the Panthers have in Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.6204049769133161
How many teams has Manning won the Super Bowl with?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.4164108955589468
How many teams has Manning won the Super Bowl with?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4871884290514783
How many teams has Manning won the Super Bowl with?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5267228084214395
How many teams has Manning won the Super Bowl with?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5334763947257026
How many teams has Manning won the Super Bowl with?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5347299871698354
How many teams has Manning won the Super Bowl with?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5715709932349644
How many teams has Manning won the Super Bowl with?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5923506684937495
How many teams has Manning won the Super Bowl with?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.6035350674815514
How many teams has Manning won the Super Bowl with?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.6137469565839943
How many teams has Manning won the Super Bowl with?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.6260206244136982
How many teams has Manning won the Super Bowl with?,Kony Ealy tied a Super Bowl record with three sacks.,0.6399998404333962
How many teams has Manning won the Super Bowl with?,Super Bowl 50 featured numerous records from individuals and teams.,0.6490951665499698
How many total yards did Denver gain?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.3888700054965563
How many total yards did Denver gain?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.3966603454238709
How many total yards did Denver gain?,Kony Ealy tied a Super Bowl record with three sacks.,0.4395084710421679
How many total yards did Denver gain?,Super Bowl 50 featured numerous records from individuals and teams.,0.4395084710421679
How many total yards did Denver gain?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4620697432562071
How many total yards did Denver gain?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.4863659979682389
How many total yards did Denver gain?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5014912911573093
How many total yards did Denver gain?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.5474435458796318
How many total yards did Denver gain?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.548929034231362
How many total yards did Denver gain?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5569970146150787
How many total yards did Denver gain?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.5589110997617153
How many total yards did Denver gain?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5687743419753426
How many yards did Denver have for Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4072662874975853
How many yards did Denver have for Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,0.5179995957266491
How many yards did Denver have for Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5267228084214395
How many yards did Denver have for Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5347299871698354
How many yards did Denver have for Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.5548387079159648
How many yards did Denver have for Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5612871031754324
How many yards did Denver have for Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,0.5766968377519484
How many yards did Denver have for Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5923506684937495
How many yards did Denver have for Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5989602723394887
How many yards did Denver have for Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.5994063329713383
How many yards did Denver have for Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.6035350674815514
How many yards did Denver have for Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.6260206244136982
What team di the Broncos tie a Super Bowl record for in sacks?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.414652714999808
What team di the Broncos tie a Super Bowl record for in sacks?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4412340590042387
What team di the Broncos tie a Super Bowl record for in sacks?,Kony Ealy tied a Super Bowl record with three sacks.,0.4774202464112007
What team di the Broncos tie a Super Bowl record for in sacks?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5360214432992163
What team di the Broncos tie a Super Bowl record for in sacks?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5369507251971404
What team di the Broncos tie a Super Bowl record for in sacks?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5603047221885818
What team di the Broncos tie a Super Bowl record for in sacks?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.585805380127371
What team di the Broncos tie a Super Bowl record for in sacks?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5934697737284658
What team di the Broncos tie a Super Bowl record for in sacks?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.59969073104853
What team di the Broncos tie a Super Bowl record for in sacks?,Super Bowl 50 featured numerous records from individuals and teams.,0.6071914156350694
What team di the Broncos tie a Super Bowl record for in sacks?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.6089955332589507
What team di the Broncos tie a Super Bowl record for in sacks?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.6327703793936634
What team had 244 yards in Super Bowl XXXV?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4042510139592731
What team had 244 yards in Super Bowl XXXV?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.4170126205780512
What team had 244 yards in Super Bowl XXXV?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.4419387743425922
What team had 244 yards in Super Bowl XXXV?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5065606902486913
What team had 244 yards in Super Bowl XXXV?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5234908130292542
What team had 244 yards in Super Bowl XXXV?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.535437612465137
What team had 244 yards in Super Bowl XXXV?,Kony Ealy tied a Super Bowl record with three sacks.,0.5676333056622875
What team had 244 yards in Super Bowl XXXV?,Super Bowl 50 featured numerous records from individuals and teams.,0.5807930298639719
What team had 244 yards in Super Bowl XXXV?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.5887734662753779
What team had 244 yards in Super Bowl XXXV?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.5907677998190739
What team had 244 yards in Super Bowl XXXV?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5928872335185184
What team had 244 yards in Super Bowl XXXV?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.596809023372732
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4940066806537536
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.5133049978767239
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5632435837872702
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5692522307811931
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5932103963708351
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.6112419438494514
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.6134248995785239
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,0.6144488346144181
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.6237333888030668
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.6252618971723947
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.6399304715921302
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,0.6651379822404394
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4865674722843846
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5348848982195161
Which team did Gary Kubiak play for when he was in the Super Bowl?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5364181007937845
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.5521957969626514
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5541346330548483
Which team did Gary Kubiak play for when he was in the Super Bowl?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5875630224455712
Which team did Gary Kubiak play for when he was in the Super Bowl?,Kony Ealy tied a Super Bowl record with three sacks.,0.5996103781729089
Which team did Gary Kubiak play for when he was in the Super Bowl?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.604126268885774
Which team did Gary Kubiak play for when he was in the Super Bowl?,Super Bowl 50 featured numerous records from individuals and teams.,0.6112822159177833
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.6119715858248749
Which team did Gary Kubiak play for when he was in the Super Bowl?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.621520429331972
Which team did Gary Kubiak play for when he was in the Super Bowl?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.634165060961468
Who did the Broncos tie with the most sacks in a Super Bowl?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.414515939647801
Who did the Broncos tie with the most sacks in a Super Bowl?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4467438624767513
Who did the Broncos tie with the most sacks in a Super Bowl?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5027412748431042
Who did the Broncos tie with the most sacks in a Super Bowl?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.5355057886114009
Who did the Broncos tie with the most sacks in a Super Bowl?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.536499079653023
Who did the Broncos tie with the most sacks in a Super Bowl?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5474263588653263
Who did the Broncos tie with the most sacks in a Super Bowl?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5865250216198327
Who did the Broncos tie with the most sacks in a Super Bowl?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5873763960216858
Who did the Broncos tie with the most sacks in a Super Bowl?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.6089455622392126
Who did the Broncos tie with the most sacks in a Super Bowl?,Super Bowl 50 featured numerous records from individuals and teams.,0.60973803423003
Who did the Broncos tie with the most sacks in a Super Bowl?,Kony Ealy tied a Super Bowl record with three sacks.,0.617846372483142
Who did the Broncos tie with the most sacks in a Super Bowl?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.6337808080605594
Who is the only quarterback to win a Super Bowl with two teams?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.414652714999808
Who is the only quarterback to win a Super Bowl with two teams?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4910333388746267
Who is the only quarterback to win a Super Bowl with two teams?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5361992599940588
Who is the only quarterback to win a Super Bowl with two teams?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5369507251971404
Who is the only quarterback to win a Super Bowl with two teams?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.5397686091449064
Who is the only quarterback to win a Super Bowl with two teams?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5698376827187367
Who is the only quarterback to win a Super Bowl with two teams?,Kony Ealy tied a Super Bowl record with three sacks.,0.5715185767061208
Who is the only quarterback to win a Super Bowl with two teams?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.5888536919482552
Who is the only quarterback to win a Super Bowl with two teams?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.599063464513501
Who is the only quarterback to win a Super Bowl with two teams?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.6028552122589788
Who is the only quarterback to win a Super Bowl with two teams?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.6334562920349798
Who is the only quarterback to win a Super Bowl with two teams?,Super Bowl 50 featured numerous records from individuals and teams.,0.6617067862678989
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.4114277565037066
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.4520932831024217
"Who returned a punt for 61 yards, setting a new Super Bowl record?",Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.5368591727434251
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.5476116223031962
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.565699034757664
"Who returned a punt for 61 yards, setting a new Super Bowl record?",The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.5720615704776322
"Who returned a punt for 61 yards, setting a new Super Bowl record?",Kony Ealy tied a Super Bowl record with three sacks.,0.5914891752417126
"Who returned a punt for 61 yards, setting a new Super Bowl record?",Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.6004036259206933
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.6112341202335231
"Who returned a punt for 61 yards, setting a new Super Bowl record?",Super Bowl 50 featured numerous records from individuals and teams.,0.613615542861432
"Who returned a punt for 61 yards, setting a new Super Bowl record?",The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.6201015169260657
"Who returned a punt for 61 yards, setting a new Super Bowl record?",The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.6345829138726187
