test_question,test_span,train_question,train_span,distance
How many total yards did Denver gain?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",Which team held the scoring lead throughout the entire game?,The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title.,1.986991469929384
How many first downs did Denver have?,Super Bowl 50 featured numerous records from individuals and teams.,What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.4063288153426583
How many first downs did Denver have?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.781427444335836
How many first downs did Denver have?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",4.886921171129224
How many first downs did Denver have?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.2954923612003058
How many first downs did Denver have?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.2476851446416766
How many first downs did Denver have?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.2381423540349916
How many first downs did Denver have?,Kony Ealy tied a Super Bowl record with three sacks.,What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.4063288153426583
How many first downs did Denver have?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.404355139785821
How many first downs did Denver have?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.595398697425167
How many first downs did Denver have?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.262190706676072
How many first downs did Denver have?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.3632341012146223
How many first downs did Denver have?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.","Rather than Roman numerals, what did the NFL decide to use?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",3.1915439856459336
What team had 244 yards in Super Bowl XXXV?,Super Bowl 50 featured numerous records from individuals and teams.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.517892712215154
What team had 244 yards in Super Bowl XXXV?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",4.613506568108289
What team had 244 yards in Super Bowl XXXV?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.290990699366917
What team had 244 yards in Super Bowl XXXV?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,Super Bowl 50 decided the NFL champion for what season?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,8.279001198694937
What team had 244 yards in Super Bowl XXXV?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.","If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",8.420347542331298
What team had 244 yards in Super Bowl XXXV?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,What was the number of solo tackles that Von Miller had in Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,5.236026864199212
What team had 244 yards in Super Bowl XXXV?,Kony Ealy tied a Super Bowl record with three sacks.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.2825064209363424
What team had 244 yards in Super Bowl XXXV?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.","If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.934939800521652
What team had 244 yards in Super Bowl XXXV?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.3305741124816215
What team had 244 yards in Super Bowl XXXV?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.312130417996773
What team had 244 yards in Super Bowl XXXV?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.31690296932238
What team had 244 yards in Super Bowl XXXV?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",4.926585473415647
"Who returned a punt for 61 yards, setting a new Super Bowl record?",Super Bowl 50 featured numerous records from individuals and teams.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.505678868270435
"Who returned a punt for 61 yards, setting a new Super Bowl record?",Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.972399896921591
"Who returned a punt for 61 yards, setting a new Super Bowl record?",Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.157151755983524
"Who returned a punt for 61 yards, setting a new Super Bowl record?",The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.927664205311886
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.236064413318401
"Who returned a punt for 61 yards, setting a new Super Bowl record?",The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.05451630332386
"Who returned a punt for 61 yards, setting a new Super Bowl record?",Kony Ealy tied a Super Bowl record with three sacks.,What was the number of solo tackles that Von Miller had in Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.2641123250370505
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.","If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",10.819716955926944
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",How many teams have won 15 regular season games since the 16-game schedule was adopted?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.3033627100014376
"Who returned a punt for 61 yards, setting a new Super Bowl record?",The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.306112513990748
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.543969336705075
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",4.92181164855897
Who is the only quarterback to win a Super Bowl with two teams?,Super Bowl 50 featured numerous records from individuals and teams.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.55773775107788
Who is the only quarterback to win a Super Bowl with two teams?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.974103911331301
Who is the only quarterback to win a Super Bowl with two teams?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.247513538308311
Who is the only quarterback to win a Super Bowl with two teams?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.05673577817638
Who is the only quarterback to win a Super Bowl with two teams?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.431802820034067
Who is the only quarterback to win a Super Bowl with two teams?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.074878267387633
Who is the only quarterback to win a Super Bowl with two teams?,Kony Ealy tied a Super Bowl record with three sacks.,What was the number of solo tackles that Von Miller had in Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.264745425595646
Who is the only quarterback to win a Super Bowl with two teams?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.508279697652293
Who is the only quarterback to win a Super Bowl with two teams?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What venue did Super Bowl 50 take place in?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",1.324376726769675
Who is the only quarterback to win a Super Bowl with two teams?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,"If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.336236444403698
Who is the only quarterback to win a Super Bowl with two teams?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.607616295030807
Who is the only quarterback to win a Super Bowl with two teams?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.","If Roman numerals were used, what would Super Bowl 50 have been called?","As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",13.575712953708932
How many yards did Denver have for Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,What was the number of solo tackles that Von Miller had in Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.578736463714737
How many yards did Denver have for Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",4.6144520054918265
How many yards did Denver have for Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.15629364015036
How many yards did Denver have for Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.057399695887072
How many yards did Denver have for Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.229712300441945
How many yards did Denver have for Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",3.955662008462649
How many yards did Denver have for Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.2761262075015027
How many yards did Denver have for Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.508472234213091
How many yards did Denver have for Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",What yard marker on the field was painted gold?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,2.5856945946136114
How many yards did Denver have for Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.307691979633289
How many yards did Denver have for Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",6.315610835462217
How many yards did Denver have for Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",4.926955973585949
How many first downs did Denver have for Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,What was the number of solo tackles that Von Miller had in Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,4.5635228702711945
How many first downs did Denver have for Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",5.767105587808751
How many first downs did Denver have for Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",7.305002157435961
How many first downs did Denver have for Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.958462762421656
How many first downs did Denver have for Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",4.956380256937472
How many first downs did Denver have for Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,What type of numeral did the latest Super Bowl use to designate the game number?,"As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",3.9566661232722007
How many first downs did Denver have for Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,3.272481677025824
